policy,t_s,queue_p99_s,engine_p99_s,thrash_per_s
CLIMB,226.0,7.698120808601381,0.10399975776672363,1.0
CLIMB,227.0,5.189043385982513,0.10403719902038575,0.0
CLIMB,228.0,8.232251620292665,0.10399975776672363,0.0
CLIMB,229.0,8.232251620292665,0.10399975776672363,0.0
CLIMB,230.0,8.350765824317932,0.10399975776672363,0.0
CLIMB,231.0,8.393880701065063,0.10416558265686035,0.0
CLIMB,232.0,8.393880701065063,0.10416558265686035,0.0
CLIMB,233.0,8.372323262691499,0.1041395092010498,0.0
CLIMB,234.0,8.415438139438628,0.10157212734222412,0.0
CLIMB,235.0,8.393880701065063,0.10154431343078613,1.0
CLIMB,236.0,8.393880701065063,0.10154431343078613,1.0
CLIMB,237.0,8.393880701065063,0.10154431343078613,0.0
CLIMB,238.0,6.9395520520210265,0.10151649951934814,0.0
CLIMB,239.0,6.938117671012878,0.10148868560791016,0.0
CLIMB,240.0,6.938117671012878,0.10148868560791016,0.0
CLIMB,241.0,6.938117671012878,0.09861090183258056,0.0
CLIMB,242.0,6.935248908996582,0.09853599548339843,0.0
CLIMB,243.0,6.938117671012878,0.09407534599304199,0.0
CLIMB,244.0,6.938117671012878,0.09053723812103272,2.0
CLIMB,245.0,6.942420814037323,0.08810870170593262,1.0
CLIMB,246.0,6.942420814037323,0.08810870170593262,0.0
CLIMB,247.0,6.940986433029175,0.08810065269470214,0.0
CLIMB,248.0,6.716374642848968,0.08718847751617431,0.0
CLIMB,249.0,6.718970413208007,0.0846287202835083,0.0
CLIMB,250.0,6.728611087799073,0.0801925539970398,0.0
CLIMB,251.0,6.738251762390137,0.07886484146118164,0.0
CLIMB,252.0,,,0.0
CLIMB,253.0,,,2.0
CLIMB,254.0,6.738251762390137,0.06899041175842285,0.0
CLIMB,255.0,6.718970413208007,0.07348735809326172,0.0
CLIMB,256.0,6.699689064025879,0.09491773605346679,1.0
CLIMB,257.0,5.539944546222686,0.0951504373550415,0.0
CLIMB,258.0,5.1285473728179936,0.0961106300354004,0.0
CLIMB,259.0,5.1285473728179936,0.0961106300354004,0.0
CLIMB,260.0,5.1285473728179936,0.0961106300354004,0.0
CLIMB,261.0,5.1267673110961915,0.09577627182006836,0.0
CLIMB,262.0,5.1267673110961915,0.09577627182006836,1.0
CLIMB,263.0,5.1267673110961915,0.09577627182006836,1.0
CLIMB,264.0,5.127657341957092,0.09594345092773438,0.0
CLIMB,265.0,5.1285473728179936,0.0961106300354004,0.0
CLIMB,266.0,5.129308650493622,0.08819358348846436,0.0
CLIMB,267.0,5.129308650493622,0.08819358348846436,0.0
CLIMB,268.0,4.983727064132689,0.08508748531341552,0.0
CLIMB,269.0,4.983727064132689,0.08508748531341552,0.0
CLIMB,270.0,4.947594757080078,0.08505655288696289,1.0
CLIMB,271.0,5.001793217658997,0.07809329032897949,1.0
CLIMB,272.0,5.019859371185302,0.07686099052429199,0.0
CLIMB,273.0,5.954062604904175,0.07695223093032837,0.0
CLIMB,274.0,5.944989566802978,0.07694961071014404,0.0
CLIMB,275.0,5.935916528701782,0.07694699048995972,0.0
CLIMB,276.0,5.9214502143859855,0.07694961071014404,0.0
CLIMB,277.0,5.9214502143859855,0.07694961071014404,0.0
CLIMB,278.0,5.9214502143859855,0.07668836116790771,1.0
CLIMB,279.0,5.9214502143859855,0.07668836116790771,0.0
CLIMB,280.0,5.934446477890015,0.07669085264205933,1.0
CLIMB,281.0,6.855804743766784,0.07668836116790771,0.0
CLIMB,282.0,6.852451198101043,0.08995340824127197,0.0
CLIMB,283.0,6.852451198101043,0.09072779178619385,0.0
CLIMB,284.0,6.849097652435303,0.09069594383239746,0.0
CLIMB,285.0,6.852451198101043,0.09072779178619385,0.0
CLIMB,286.0,6.852451198101043,0.09072779178619385,0.0
CLIMB,287.0,6.845744106769562,0.09066409587860108,2.0
CLIMB,288.0,6.849097652435303,0.09069594383239746,1.0
CLIMB,289.0,6.986044859886169,0.09063224792480469,0.0
CLIMB,290.0,6.986044859886169,0.09063224792480469,0.0
CLIMB,291.0,6.986044859886169,0.09412603378295899,0.0
CLIMB,292.0,6.986595680713654,0.09393733978271485,0.0
CLIMB,293.0,6.986044859886169,0.09387717247009278,0.0
CLIMB,294.0,6.986595680713654,0.09393733978271485,0.0
CLIMB,295.0,6.985494039058685,0.09381700515747071,1.0
CLIMB,296.0,6.985494039058685,0.09381700515747071,1.0
CLIMB,297.0,6.986595680713654,0.09393733978271485,0.0
CLIMB,298.0,6.9849432182312015,0.09957928657531738,0.0
CLIMB,299.0,6.025464568138122,0.10005505084991455,0.0
CLIMB,300.0,4.939995765686035,0.10007195472717285,0.0
CLIMB,301.0,4.271531753540039,0.10007195472717285,1.0
CLIMB,302.0,4.268749184608459,0.10005505084991455,1.0
CLIMB,303.0,4.274314322471619,0.10008885860443115,1.0
CLIMB,304.0,22.090288906097413,0.10007195472717285,0.0
CLIMB,305.0,22.102350378036498,0.10010576248168945,0.0
CLIMB,306.0,22.096319642066955,0.10008885860443115,0.0
CLIMB,307.0,22.096319642066955,0.10008885860443115,0.0
CLIMB,308.0,22.096319642066955,0.09829461574554443,0.0
CLIMB,309.0,22.114411849975586,0.09570319175720216,0.0
CLIMB,310.0,22.108381114006043,0.09567235469818115,0.0
CLIMB,311.0,22.120442585945128,0.09573402881622314,0.0
CLIMB,312.0,22.120442585945128,0.1101924467086792,0.0
CLIMB,313.0,22.114411849975586,0.11090960502624511,0.0
CLIMB,314.0,19.770719118118286,0.11099832057952881,0.0
CLIMB,315.0,19.73523355484009,0.11090960502624511,0.0
CLIMB,316.0,18.090630741119384,0.11095396280288697,0.0
CLIMB,317.0,18.090630741119384,0.11095396280288697,0.0
CLIMB,318.0,16.234288730621337,0.1110870361328125,0.0
CLIMB,319.0,16.21414672136307,0.11104267835617065,0.0
CLIMB,320.0,14.20481630563736,0.11104267835617065,0.0
CLIMB,321.0,14.185648398399351,0.11099832057952881,0.0
CLIMB,322.0,12.32136870622635,0.10673843622207642,0.0
CLIMB,323.0,11.105459699630737,0.10489345550537109,0.0
CLIMB,324.0,11.091221108436583,0.10482837200164795,0.0
CLIMB,325.0,7.185599386692047,0.11702941656112671,1.0
CLIMB,326.0,7.145208215713501,0.11650341033935546,1.0
CLIMB,327.0,7.145208215713501,0.11650341033935546,0.0
CLIMB,328.0,11.378621816635132,0.11615273952484131,0.0
CLIMB,329.0,11.378621816635132,0.11585505008697511,0.0
CLIMB,330.0,11.371064639091491,0.11537971258163454,0.0
CLIMB,331.0,11.378621816635132,0.11560938358306885,0.0
CLIMB,332.0,11.378621816635132,0.11560938358306885,0.0
CLIMB,333.0,11.371064639091491,0.11537971258163454,0.0
CLIMB,334.0,11.386178994178772,0.11583905458450318,0.0
CLIMB,335.0,11.393736171722413,0.0948354434967041,0.0
CLIMB,336.0,11.408850526809692,0.09486133098602295,0.0
CLIMB,337.0,11.401293349266052,0.09484838724136352,0.0
CLIMB,338.0,9.857688772678376,0.09487427473068237,1.0
CLIMB,339.0,9.478387172222137,0.09466245174407958,1.0
CLIMB,340.0,6.358022532463072,0.08733443737030029,0.0
CLIMB,341.0,6.8009413146972655,0.08733372926712037,0.0
CLIMB,342.0,6.8038797855377195,0.09485046863555908,0.0
CLIMB,343.0,6.801332721710205,0.09479080200195313,0.0
CLIMB,344.0,6.800059189796448,0.09476096868515015,0.0
CLIMB,345.0,6.797512125968933,0.10338088274002075,0.0
CLIMB,346.0,6.79878565788269,0.1034777307510376,0.0
CLIMB,347.0,6.7962385940551755,0.10471485137939453,1.0
CLIMB,348.0,6.7962385940551755,0.10471485137939453,0.0
CLIMB,349.0,6.793691530227661,0.10470000743865966,1.0
CLIMB,350.0,6.794965062141419,0.1047074294090271,0.0
CLIMB,351.0,6.664006328582763,0.10471485137939453,0.0
CLIMB,352.0,5.453269779682159,0.10472227334976196,0.0
CLIMB,353.0,4.870003266334534,0.10473711729049683,0.0
CLIMB,354.0,4.871797399520874,0.10474453926086426,0.0
CLIMB,355.0,4.873591532707215,0.10355463743209839,1.0
CLIMB,356.0,4.871797399520874,0.10350584030151366,1.0
CLIMB,357.0,4.877179799079895,0.08450841188430787,0.0
CLIMB,358.0,6.292770714759827,0.08440164089202881,0.0
CLIMB,359.0,6.312059278488159,0.08513747215270995,0.0
CLIMB,360.0,6.304343852996826,0.09774446487426758,0.0
CLIMB,361.0,6.300486140251159,0.09840654373168946,0.0
CLIMB,362.0,6.308201565742492,0.09848596572875977,0.0
CLIMB,363.0,6.308201565742492,0.09848596572875977,1.0
CLIMB,364.0,6.304343852996826,0.09844625473022461,1.0
CLIMB,365.0,6.300486140251159,0.46891248464584356,0.0
CLIMB,366.0,6.296628427505493,0.4854141473770142,0.0
CLIMB,367.0,6.296628427505493,0.4854141473770142,1.0
CLIMB,368.0,4.397835903167724,0.48943543434143066,0.0
CLIMB,369.0,4.420873186588287,0.4874247908592224,0.0
CLIMB,370.0,3.896280205249786,0.49144607782363886,0.0
CLIMB,371.0,3.7737219667434676,0.49345672130584706,0.0
CLIMB,372.0,3.7737219667434676,0.49345672130584706,1.0
CLIMB,373.0,3.6913316893577566,0.49144607782363886,1.0
CLIMB,374.0,3.728449025154112,0.49345672130584706,1.0
CLIMB,375.0,3.7655663609504706,0.29455156326293946,1.0
CLIMB,376.0,,,1.0
CLIMB,377.0,9.296481645107269,0.08934511661529541,0.0
CLIMB,378.0,9.296481645107269,0.08934511661529541,0.0
CLIMB,379.0,9.296481645107269,0.08934511661529541,0.0
CLIMB,380.0,9.296481645107269,0.08934511661529541,0.0
CLIMB,381.0,9.296481645107269,0.08934511661529541,0.0
CLIMB,382.0,9.29609501361847,0.08931503295898438,0.0
CLIMB,383.0,9.296352767944336,0.0893350887298584,0.0
CLIMB,384.0,9.296352767944336,0.0893350887298584,0.0
CLIMB,385.0,9.29609501361847,0.08931503295898438,1.0
CLIMB,386.0,9.295966136455537,0.08930500507354737,2.0
CLIMB,387.0,6.245033779144287,0.08842428207397461,0.0
CLIMB,388.0,6.245033779144287,0.08842428207397461,1.0
CLIMB,389.0,7.740572929382324,0.08842428207397461,0.0
CLIMB,390.0,7.740572929382324,0.08842428207397461,0.0
CLIMB,391.0,7.805169906616213,0.09584553003311157,0.0
CLIMB,392.0,7.82612886428833,0.09585044384002686,0.0
CLIMB,393.0,7.805169906616213,0.09584553003311157,0.0
CLIMB,394.0,7.805169906616213,0.09584553003311157,0.0
CLIMB,395.0,7.868046779632568,0.09586027145385742,0.0
CLIMB,396.0,7.868046779632568,0.09586027145385742,1.0
CLIMB,397.0,7.847087821960449,0.09585535764694214,1.0
CLIMB,398.0,7.847087821960449,0.09585535764694214,0.0
CLIMB,399.0,5.938709688186646,0.09585044384002686,0.0
CLIMB,400.0,5.938709688186646,0.09585044384002686,3.0
CLIMB,401.0,5.529374084472656,0.0929853630065918,1.0
CLIMB,402.0,4.06533613204956,0.08760415077209473,2.0
CLIMB,403.0,2.2942395639419555,0.12289955615997313,2.0
CLIMB,404.0,2.2942395639419555,0.12289955615997313,2.0
CLIMB,405.0,2.2919297719001768,0.12251447439193724,2.0
CLIMB,406.0,2.2919297719001768,0.12235908031463621,0.0
CLIMB,407.0,2.2896199798583985,0.11922621726989746,2.0
CLIMB,408.0,2.2873101878166198,0.1184782385826111,1.0
CLIMB,409.0,0.0008159351348876954,0.11865511894226073,0.0
CLIMB,410.0,0.0008159351348876954,0.11865511894226073,2.0
CLIMB,411.0,0.0008159351348876954,0.11865511894226073,0.0
CLIMB,412.0,0.0008159351348876954,0.11865511894226073,2.0
CLIMB,413.0,0.0008118534088134765,0.04324869155883789,1.0
CLIMB,414.0,0.0008101940155029298,0.04324250221252442,1.0
CLIMB,415.0,0.0008101940155029298,0.04324250221252442,1.0
CLIMB,416.0,0.0008093643188476563,0.043239407539367676,2.0
CLIMB,417.0,0.0008110237121582031,0.04277428865432739,1.0
CLIMB,418.0,0.000734548568725586,0.04278074264526367,2.0
CLIMB,419.0,0.000734548568725586,0.04278074264526367,1.0
CLIMB,420.0,0.0008636236190795899,0.04276783466339111,1.0
CLIMB,421.0,0.0008639526367187501,0.04277428865432739,1.0
CLIMB,422.0,0.0008608627319335938,0.042761380672454836,0.0
CLIMB,423.0,0.0008684158325195312,0.042754926681518556,0.0
CLIMB,424.0,0.0008699893951416016,0.04276783466339111,2.0
CLIMB,425.0,0.0008692026138305665,0.046093773841857914,6.0
CLIMB,426.0,0.0008692026138305665,0.04647378921508789,1.0
CLIMB,427.0,0.0008699893951416016,0.046475887298583984,1.0
CLIMB,428.0,0.0008684158325195312,0.046471691131591795,4.0
CLIMB,429.0,0.0008684158325195312,0.046471691131591795,1.0
CLIMB,430.0,0.0007929325103759766,0.046475887298583984,0.0
CLIMB,431.0,0.0007929325103759766,0.046475887298583984,2.0
CLIMB,432.0,0.0007941818237304687,0.04648008346557617,1.0
CLIMB,433.0,0.0007775115966796875,0.04648008346557617,2.0
CLIMB,434.0,0.0007770681381225586,0.046477985382080075,2.0
CLIMB,435.0,0.0007762956619262695,0.04595643997192383,0.0
CLIMB,436.0,0.0007762956619262695,0.04249922275543213,1.0
CLIMB,437.0,0.0007762956619262695,0.04249922275543213,1.0
CLIMB,438.0,0.0007762742042541504,0.04236390590667725,1.0
CLIMB,439.0,0.0007768058776855468,0.04236750602722168,0.0
CLIMB,440.0,0.0007768058776855468,0.04236750602722168,1.0
CLIMB,441.0,0.0007762742042541504,0.04236390590667725,2.0
CLIMB,442.0,0.0007752108573913575,0.04235670566558838,1.0
CLIMB,443.0,0.0007275056838989258,0.04236390590667725,1.0
CLIMB,444.0,0.0007263898849487304,0.04236390590667725,3.0
CLIMB,445.0,0.0009149932861328124,0.04236750602722168,2.0
CLIMB,446.0,0.0009180593490600585,0.042374706268310545,3.0
CLIMB,447.0,0.0009137725830078125,0.04236750602722168,2.0
CLIMB,448.0,0.0009129810333251954,0.03955289125442505,0.0
CLIMB,449.0,0.0009089183807373048,0.040164122581481936,3.0
CLIMB,450.0,0.0009068870544433592,0.040159626007080076,2.0
CLIMB,451.0,0.0009068870544433592,0.040159626007080076,1.0
CLIMB,452.0,0.0009068870544433592,0.040159626007080076,0.0
CLIMB,453.0,0.0009048557281494139,0.040584874153137204,1.0
CLIMB,454.0,0.0009068870544433592,0.04058914184570313,1.0
CLIMB,455.0,0.0007261157035827636,0.04091975450515747,1.0
CLIMB,456.0,0.0007261157035827636,0.04091975450515747,2.0
CLIMB,457.0,0.0007257962226867676,0.040926177501678464,0.0
